127.0.0.1 - - [20/Apr/2018:21:27:32 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/menu-search/css/component.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/css/style.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/css/chartist.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/css/c3.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/css/style.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/css/general.css HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery/js/jquery.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 152841
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/modernizr.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/todo/todo.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/gauge.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/pie.js HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/serial.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/light.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/peity/js/jquery.peity.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/chartist/js/chartist.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-threshold.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-tooltip.min.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/d3/js/d3.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/c3/js/c3.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/chart.js/js/Chart.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1" 404 1189
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/project-dashboard.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/SmoothScroll.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/pcoded.min.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/demo-12.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/js/fontawesome/fontawesome-all.js HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 40357
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/images/avatar-4.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/assets/images/user-card/img-round4.jpg HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/css/bootstrap.min.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/icon/icofont/css/icofont.css HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/menu-search/css/component.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/css/style.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/css/chartist.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/css/c3.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/css/style.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery/js/jquery.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/modernizr.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/todo/todo.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/gauge.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/pie.js HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/serial.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/light.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/peity/js/jquery.peity.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/chartist/js/chartist.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-threshold.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-tooltip.min.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/d3/js/d3.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/c3/js/c3.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/chart.js/js/Chart.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1" 404 1189
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/project-dashboard.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/SmoothScroll.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/pcoded.min.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/demo-12.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/assets/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:27 -0500] "GET /joappWeb/administracion/js/fontawesome/fontawesome-all.js HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:28 -0500] "GET /joappWeb/administracion/images/headset_icono.png HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/miPerfilPlus.xhtml HTTP/1.1" 200 22257
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24984
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/bootstrap.min.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/icon/icofont/css/icofont.css HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/menu-search/css/component.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/css/style.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/chartist.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/c3.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/css/style.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/css/general.css HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/css/bootstrap.css HTTP/1.1" 200 152841
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery/js/jquery.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/modernizr.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/todo/todo.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/gauge.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/pie.js HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/serial.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/light.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/peity/js/jquery.peity.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/chartist/js/chartist.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-threshold.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/chart/chartlist/js/chartist-plugin-tooltip.min.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/d3/js/d3.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/c3/js/c3.js HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/chart.js/js/Chart.js HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/i18next/js/i18next.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/i18next-xhr-backend/js/i18nextXHRBackend.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/i18next-browser-languagedetector/js/i18nextBrowserLanguageDetector.min.js HTTP/1.1" 404 1189
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery-i18next/js/jquery-i18next.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/project-dashboard.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/js/SmoothScroll.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/js/pcoded.min.js HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/js/demo-12.js HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/js/script.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/js/fontawesome/fontawesome-all.js HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 40357
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/images/avatar-4.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/assets/images/user-card/img-round4.jpg HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/bootstrap.min.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/icon/icofont/css/icofont.css HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/flag-icon/flag-icon.min.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/menu-search/css/component.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/css/style.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/chartist.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/css/c3.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/css/style.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery/js/jquery.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/jquery-ui/js/jquery-ui.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/popper.js/js/popper.min.js HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:32 -0500] "GET /joappWeb/administracion/bower_components/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/bower_components/jquery-slimscroll/js/jquery.slimscroll.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/modernizr.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/bower_components/modernizr/js/css-scrollbars.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/assets/pages/todo/todo.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/assets/pages/dashboard/horizontal-timeline/js/main.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Apr/2018:22:03:33 -0500] "GET /joappWeb/administracion/assets/pages/widget/amchart/amcharts.js HTTP/1.1" 404 1087
